13-13-06
Hi from fuction2
13-24-21
Given Date,01/01/2020
Day,Count
01-01-2020,2
02-01-2020,1
03-01-2020,0
04-01-2020,2
05-01-2020,2
06-01-2020,0
07-01-2020,0
Average FootFall Count,1




13-34-44
Given Date,01/01/2020
Day,Count
01-01-2020,2
02-01-2020,1
03-01-2020,0
04-01-2020,2
05-01-2020,2
06-01-2020,0
07-01-2020,0
Average FootFall Count,1




13-45-49
Given Date,01/01/2020
Day,Count
01-01-2020,2
02-01-2020,1
03-01-2020,0
04-01-2020,2
05-01-2020,2
06-01-2020,0
07-01-2020,0
Average FootFall Count,1




14-35-43
Given Date,01/01/2020
Day,Count
01-01-2020,2
02-01-2020,1
03-01-2020,0
04-01-2020,2
05-01-2020,2
06-01-2020,0
07-01-2020,0
Average FootFall Count,1




16-38-45
Given Date,02/12/2020
Day,Count
02-12-2020,1
03-12-2020,0
04-12-2020,0
05-12-2020,0
06-12-2020,0
07-12-2020,0
08-12-2020,0
Average FootFall Count,0.1428571




16-58-00
Given Date,11/11/2011
Day,Count
11-11-2011,1
12-11-2011,0
13-11-2011,0
14-11-2011,0
15-11-2011,0
16-11-2011,0
17-11-2011,0
Average FootFall Count,0.1428571

