Date,Time,,
7/1/2020,9:10 AM,
7/1/2020,9:20 AM,
7/1/2020,9:30 AM,
7/1/2020,10:15 AM,
7/1/2020,10:25 AM,
7/1/2020,10:35 AM,
7/1/2020,10:45 AM,
7/1/2020,11:05 AM,
7/1/2020,11:20 AM,
7/1/2020,11:30 AM,
7/1/2020,12:20 PM,
7/1/2020,12:20 PM,
7/1/2020,1:20 PM,
7/1/2020,1:30 PM,
7/1/2020,1:40 PM,
7/1/2020,1:50 PM,
7/1/2020,2:20 PM,
7/1/2020,2:50 PM,
7/1/2020,2:59 PM,
7/1/2020,3:20 PM,
7/1/2020,3:20 PM,
7/1/2020,4:20 PM,
7/1/2020,4:20 PM,
7/1/2020,4:30 PM,
7/1/2020,4:30 PM,
7/2/2020,9:10 AM,
7/2/2020,9:30 AM,
7/2/2020,10:15 AM,
7/2/2020,10:25 AM,
7/2/2020,10:35 AM,
7/2/2020,10:45 AM,
7/2/2020,11:05 AM,
7/2/2020,11:30 AM,
7/2/2020,12:20 PM,
7/2/2020,1:20 PM,
7/2/2020,1:20 PM,
7/2/2020,2:30 PM,
7/2/2020,3:40 PM,
7/2/2020,4:10 PM,
7/2/2020,4:20 PM,
7/3/2020,9:10 AM,
7/3/2020,9:30 AM,
7/3/2020,10:15 AM,
7/3/2020,10:35 AM,
7/3/2020,10:45 AM,
7/3/2020,11:05 AM,
7/3/2020,11:30 AM,
7/3/2020,12:20 PM,
7/3/2020,1:20 PM,
7/3/2020,1:20 PM,
7/3/2020,2:30 PM,
7/3/2020,3:40 PM,
7/3/2020,4:10 PM,
7/3/2020,4:20 PM,
7/3/2020,4:30 PM,
7/4/2020,9:10 AM,
7/4/2020,9:30 AM,
7/4/2020,10:15 AM,
7/4/2020,10:35 AM,
7/4/2020,10:45 AM,
7/4/2020,11:05 AM,
7/4/2020,11:30 AM,
7/4/2020,12:20 PM,
7/4/2020,1:20 PM,
7/4/2020,1:20 PM,
7/4/2020,2:30 PM,
7/4/2020,3:40 PM,
7/4/2020,4:10 PM,
7/5/2020,9:10 AM,
7/5/2020,9:30 AM,
7/5/2020,9:45 AM,,
7/5/2020,10:35 AM,
7/5/2020,10:45 AM,
7/5/2020,11:05 AM,
7/5/2020,11:30 AM,
7/5/2020,12:20 PM,
7/5/2020,1:20 PM,
7/5/2020,1:20 PM,
7/5/2020,2:30 PM,
7/5/2020,3:40 PM,
7/5/2020,3:50 PM,
7/5/2020,4:20 PM,
7/5/2020,4:30 PM,
7/5/2020,4:40 PM,
