


10-22-22
Given Date,11/11/2011
Day,Count
11-11-2011,2
12-11-2011,0
13-11-2011,0
14-11-2011,0
15-11-2011,0
16-11-2011,0
17-11-2011,0
Average FootFall Count,0.2857143




11-33-24
Given Date,11/11/2011
Day,Count
11-11-2011,2
12-11-2011,0
13-11-2011,0
14-11-2011,0
15-11-2011,0
16-11-2011,0
17-11-2011,0
Average FootFall Count,0.2857143




13-21-01
Given Date,11/11/2011
Day,Count
11-11-2011,2
12-11-2011,0
13-11-2011,0
14-11-2011,0
15-11-2011,0
16-11-2011,0
17-11-2011,0
Average FootFall Count,0.2857143

